"0"|"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"743"|"NCT00482001"|"Canada"|"Sunnybrook Health Sciences Centre"|"Mental Health"|"Donepezil"
"744"|"NCT00482092"|"Canada"|"Osiris Therapeutics"|"Crohn's Disease"|"Ranibizumab"
"745"|"NCT00482989"|"Canada"|"MedImmune LLC"|"Lupus"|"Propofol"
"746"|"NCT00483106"|"Canada"|"McGill University"|"ADHD"|"Ritalin"
"747"|"NCT00483314"|"Canada"|"McGill University Health Center"|"Homocystinuria"|"N-acetylcysteine"
"748"|"NCT00483743"|"Canada"|"Topigen Pharmaceuticals"|"COPD Patients"|"Budesonide"
"749"|"NCT00483834"|"Canada"|"University Health Network, Toronto"|"Colorectal Cancer"|"Bevacizumab"
"750"|"NCT00483834"|"Canada"|"University Health Network, Toronto"|"Colorectal Cancer"|"Capecitabine"
"751"|"NCT00483834"|"Canada"|"University Health Network, Toronto"|"Colorectal Cancer"|"Irinotecan"
"752"|"NCT00484536"|"Canada"|"UCB, Inc."|"Multiple Sclerosis"|"Fluoxetine"
"753"|"NCT00484939"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Xeloda"
"754"|"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Cyclophosphamide"
"755"|"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Doxorubicin"
"756"|"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Paclitaxel"
"757"|"NCT00486668"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Invasive Breast Cancer"|"Prednisolone"
"758"|"NCT00486759"|"Canada"|"Hoffmann-La Roche"|"Lymphoma, B-Cell"|"Prednisone"
"759"|"NCT00487188"|"Canada"|"Hoffmann-La Roche"|"HIV Infections"|"Gemcitabine"
"760"|"NCT00488839"|"Canada"|"IMPAX Laboratories, Inc."|"Multiple Sclerosis"|"Baclofen"
"761"|"NCT00488839"|"Canada"|"IMPAX Laboratories, Inc."|"Multiple Sclerosis"|"Gabapentin"
"762"|"NCT00489177"|"Canada"|"University of Calgary"|"Heart Failure"|"Quetiapine"
"763"|"NCT00492284"|"Canada"|"QLT Inc"|"Choroidal Neovascularization"|"Lucentis"
"764"|"NCT00492284"|"Canada"|"QLT Inc"|"Macular Degeneration"|"Lucentis"
"765"|"NCT00495612"|"Canada"|"Genentech"|"Asthma"|"Omalizumab"
"766"|"NCT00496080"|"Canada"|"Ethicon, Inc."|"Menorrhagia"|"Quetiapine fumarate"
"767"|"NCT00496080"|"Canada"|"Ethicon, Inc."|"Uterine Fibroids"|"Quetiapine fumarate"
"768"|"NCT00496769"|"Canada"|"Bristol-Myers Squibb"|"Atrial Fibrillation"|"Aripiprazole"
"769"|"NCT00499473"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Sorafenib"
"770"|"NCT00499616"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Cisplatin"
"771"|"NCT00499616"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Docetaxel"
"772"|"NCT00500760"|"Canada"|"Amgen"|"Head and Neck Cancer"|"Cisplatin"
"773"|"NCT00500760"|"Canada"|"Amgen"|"Head and Neck Cancer"|"Panitumumab"
"774"|"NCT00500760"|"Canada"|"Amgen"|"Squamous Cell Carcinoma"|"Cisplatin"
"775"|"NCT00500760"|"Canada"|"Amgen"|"Squamous Cell Carcinoma"|"Panitumumab"
"776"|"NCT00501241"|"Canada"|"Procter and Gamble"|"Chronic Constipation"|"Tolterodine"
"777"|"NCT00502788"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Hepatitis C"|"Ribavirin"
"778"|"NCT00502788"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Thalassemia"|"Ribavirin"
"779"|"NCT00506298"|"Canada"|"CombinatoRx"|"Type 2 Diabetes"|"Bevacizumab"
"780"|"NCT00507936"|"Canada"|"Abbott"|"Diabetic Neuralgia"|"Duloxetine"
"781"|"NCT00507936"|"Canada"|"Abbott"|"Diabetic Neuropathies"|"Duloxetine"
"782"|"NCT00507936"|"Canada"|"Abbott"|"Diabetic Neuropathy, Painful"|"Duloxetine"
"783"|"NCT00507936"|"Canada"|"Abbott"|"Diabetic Polyneuropathy"|"Duloxetine"
"784"|"NCT00507936"|"Canada"|"Abbott"|"Neuralgia, Diabetic"|"Duloxetine"
"785"|"NCT00509197"|"Canada"|"University of Montreal"|"Non-Eosinophilic Asthma"|"Flurbiprofen Axetil"
"786"|"NCT00510250"|"Canada"|"University Health Network, Toronto"|"Cancer of the Cervix"|"Cisplatin"
"787"|"NCT00510250"|"Canada"|"University Health Network, Toronto"|"Cancer of the Cervix"|"Sorafenib"
"788"|"NCT00513305"|"Canada"|"Cephalon"|"Acute Myeloid Leukemia"|"Arsenic trioxide"
"789"|"NCT00513747"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Carboplatin"
"790"|"NCT00516295"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cisplatin"
"791"|"NCT00516295"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"792"|"NCT00517257"|"Canada"|"University of Toronto"|"Branch Retinal Vein Occlusion"|"Atorvastatin"
"793"|"NCT00517257"|"Canada"|"University of Toronto"|"Central Retinal Vein Occlusion"|"Atorvastatin"
"794"|"NCT00517257"|"Canada"|"University of Toronto"|"Retinal Vein Occlusion"|"Atorvastatin"
"795"|"NCT00517257"|"Canada"|"University of Toronto"|"Retinal Vein Thrombosis"|"Atorvastatin"
"796"|"NCT00517257"|"Canada"|"University of Toronto"|"Thrombosis"|"Atorvastatin"
"797"|"NCT00517439"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"798"|"NCT00517699"|"Canada"|"Hoffmann-La Roche"|"Lymphoma"|"Cytarabine"
"799"|"NCT00517699"|"Canada"|"Hoffmann-La Roche"|"Lymphoma"|"Methotrexate"
"800"|"NCT00518531"|"Canada"|"Amgen"|"Osteoporosis"|"Atomoxetine"
"801"|"NCT00518531"|"Canada"|"Amgen"|"Osteoporosis"|"Rituximab"
"802"|"NCT00519207"|"Canada"|"The Hospital for Sick Children"|"Pain"|"Lidocaine"
"803"|"NCT00519428"|"Canada"|"New York State Psychiatric Institute"|"Major Depressive Disorder"|"Escitalopram"
"804"|"NCT00520507"|"Canada"|"Queen's University"|"Bipolar Disorder"|"Olanzapine"
"805"|"NCT00520507"|"Canada"|"Queen's University"|"Depression"|"Olanzapine"
"806"|"NCT00520507"|"Canada"|"Queen's University"|"Depressive Disorder"|"Olanzapine"
"807"|"NCT00522834"|"Canada"|"Synta Pharmaceuticals Corp."|"Melanoma"|"Paclitaxel"
"808"|"NCT00523055"|"Canada"|"University of Manitoba"|"Pain"|"Lidocaine"
"809"|"NCT00527943"|"Canada"|"Schering-Plough"|"Atherosclerosis"|"Simvastatin"
"810"|"NCT00527943"|"Canada"|"Schering-Plough"|"Myocardial Infarction"|"Simvastatin"
"811"|"NCT00527943"|"Canada"|"Schering-Plough"|"Myocardial Ischemia"|"Simvastatin"
"812"|"NCT00528008"|"Canada"|"Memorial University of Newfoundland"|"Wound Infection"|"Chlorhexidine Gluconate"
"813"|"NCT00528112"|"Canada"|"Bayer"|"Contraception"|"Mirena"
"814"|"NCT00528567"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Sirolimus"
"815"|"NCT00529100"|"Canada"|"Eli Lilly and Company"|"Non-small Cell Lung Cancer"|"Cisplatin"
"816"|"NCT00529386"|"Canada"|"Queen's University"|"Chronic Pelvic Pain Syndrome"|"Botox"
"817"|"NCT00529386"|"Canada"|"Queen's University"|"Chronic Pelvic Pain Syndrome"|"Lidocaine"
"818"|"NCT00529386"|"Canada"|"Queen's University"|"Prostatitis"|"Botox"
"819"|"NCT00529386"|"Canada"|"Queen's University"|"Prostatitis"|"Lidocaine"
"820"|"NCT00529958"|"Canada"|"University of Calgary"|"ACL Deficiency"|"Epoetin alfa"
"821"|"NCT00529958"|"Canada"|"University of Calgary"|"ACL Rupture"|"Epoetin alfa"
"822"|"NCT00529958"|"Canada"|"University of Calgary"|"Anterior Cruciate Ligament Injury"|"Epoetin alfa"
"823"|"NCT00529958"|"Canada"|"University of Calgary"|"Knee Instability"|"Epoetin alfa"
"824"|"NCT00530348"|"Canada"|"Genzyme"|"Multiple Sclerosis, Relapsing-Remitting"|"Alemtuzumab"
"825"|"NCT00530725"|"Canada"|"University of Calgary"|"Pneumothorax"|"Atacand"
"826"|"NCT00531089"|"Canada"|"McMaster University"|"Hemolytic Uremic Syndrome"|"Rituximab"
"827"|"NCT00531089"|"Canada"|"McMaster University"|"Thrombotic Thrombocytopenic Purpura"|"Rituximab"
"828"|"NCT00531466"|"Canada"|"Avigen"|"Muscle Spasticity"|"Ribavirin"
"829"|"NCT00533949"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Bevacizumab"
"830"|"NCT00533949"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Mitoxantrone hydrochloride"
"831"|"NCT00533949"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Bevacizumab"
"832"|"NCT00533949"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Mitoxantrone hydrochloride"
"833"|"NCT00534313"|"Canada"|"Bristol-Myers Squibb"|"Psoriatic Arthritis"|"Abatacept"
"834"|"NCT00535782"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Bevacizumab"
"835"|"NCT00535782"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"836"|"NCT00535847"|"Canada"|"Vertex Pharmaceuticals Incorporated"|"Hepatitis C"|"Ribavirin"
"837"|"NCT00537355"|"Canada"|"Dynavax Technologies Corporation"|"Rhinitis, Allergic, Seasonal"|"Histamine"
"838"|"NCT00540176"|"Canada"|"University of Alberta"|"Malignant Gliomas, Glioblastoma Multiforme"|"Choline"
"839"|"NCT00540618"|"Canada"|"MedImmune LLC"|"Plaque Psoriasis"|"Valganciclovir"
"840"|"NCT00541489"|"Canada"|"NicOx"|"Osteoarthritis"|"Naproxen"
"841"|"NCT00541489"|"Canada"|"NicOx"|"Osteoarthritis, Hip"|"Naproxen"
"842"|"NCT00541658"|"Canada"|"Procter and Gamble"|"Postmenopausal Osteoporosis"|"Risedronate"
"843"|"NCT00543400"|"Canada"|"Momenta Pharmaceuticals, Inc."|"Coronary Artery Disease (CAD)"|"Methylphenidate"
"844"|"NCT00543400"|"Canada"|"Momenta Pharmaceuticals, Inc."|"Percutaneous Coronary Intervention (PCI)"|"Methylphenidate"
"845"|"NCT00545688"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Docetaxel"
"846"|"NCT00546234"|"Canada"|"University of Alberta"|"Asthma"|"Tiotropium"
"847"|"NCT00546390"|"Canada"|"University of Alberta"|"Myocardial Protection"|"Lidocaine"
"848"|"NCT00546390"|"Canada"|"University of Alberta"|"Remote Ischemic Preconditioning"|"Lidocaine"
"849"|"NCT00547651"|"Canada"|"Celgene Corporation"|"Small Cell Lung Cancer"|"Topotecan"
"850"|"NCT00548405"|"Canada"|"Genzyme"|"Multiple Sclerosis, Relapsing-Remitting"|"Alemtuzumab"
"851"|"NCT00548808"|"Canada"|"Eli Lilly and Company"|"Type 2 Diabetes Mellitus"|"Depakote ER"
"852"|"NCT00548808"|"Canada"|"Eli Lilly and Company"|"Type 2 Diabetes Mellitus"|"Insulin Lispro"
"853"|"NCT00548808"|"Canada"|"Eli Lilly and Company"|"Type 2 Diabetes Mellitus"|"Insulin glargine"
"854"|"NCT00549302"|"Canada"|"Eli Lilly and Company"|"Hypertension, Pulmonary"|"Tadalafil"
"855"|"NCT00549549"|"Canada"|"Pfizer"|"Arthritis, Gouty"|"Celecoxib"
"856"|"NCT00549549"|"Canada"|"Pfizer"|"Arthritis, Gouty"|"Dasatinib"
"857"|"NCT00549757"|"Canada"|"Novartis"|"Cardiovascular Disease"|"Aliskiren"
"858"|"NCT00549757"|"Canada"|"Novartis"|"Type 2 Diabetes Mellitus"|"Aliskiren"
"859"|"NCT00551135"|"Canada"|"Pfizer"|"Hernia, Inguinal"|"Pregabalin"
"860"|"NCT00551135"|"Canada"|"Pfizer"|"Pain, Postoperative"|"Pregabalin"
"861"|"NCT00551707"|"Canada"|"CombinatoRx"|"Rheumatoid Arthritis"|"Prednisolone"
"862"|"NCT00554372"|"Canada"|"Jennerex Biotherapeutics"|"Carcinoma, Hepatocellular"|"Paclitaxel"
"863"|"NCT00557089"|"Canada"|"The Hospital for Sick Children"|"Cystic Fibrosis"|"rhDNase"
"864"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Asparaginase"
"865"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"866"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"867"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Daunorubicin Hydrochloride"
"868"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Dexamethasone"
"869"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Etoposide"
"870"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Lenalidomide"
"871"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Leucovorin calcium"
"872"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Mercaptopurine"
"873"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"874"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methylprednisolone"
"875"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Pegaspargase"
"876"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Prednisone"
"877"|"NCT00557193"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Trastuzumab"
"878"|"NCT00558272"|"Canada"|"AstraZeneca"|"Bone Neoplasms"|"Vitamin B12"
"879"|"NCT00558272"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Vitamin B12"
"880"|"NCT00558272"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"Vitamin B12"
"881"|"NCT00559273"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"882"|"NCT00559494"|"Canada"|"University of Calgary"|"Spinal Cord Injuries"|"Methadone"
"883"|"NCT00559988"|"Canada"|"Biotronik, Inc."|"Atrial Fibrillation"|"Dasatinib"
"884"|"NCT00559988"|"Canada"|"Biotronik, Inc."|"Atrial Flutter"|"Dasatinib"
"885"|"NCT00559988"|"Canada"|"Biotronik, Inc."|"Major Bleeding"|"Dasatinib"
"886"|"NCT00559988"|"Canada"|"Biotronik, Inc."|"Stroke"|"Dasatinib"
"887"|"NCT00559988"|"Canada"|"Biotronik, Inc."|"Systemic Embolism"|"Dasatinib"
"888"|"NCT00561288"|"Canada"|"University of Toronto"|"Emotional Pain"|"Acetaminophen"
"889"|"NCT00563186"|"Canada"|"University of Calgary"|"Hospital-Acquired Infection With Clostridium Difficile"|"Sildenafil Citrate"
"890"|"NCT00563186"|"Canada"|"University of Calgary"|"Hospital-Acquired MRSA Infection or Colonization"|"Sildenafil Citrate"
"891"|"NCT00563186"|"Canada"|"University of Calgary"|"Hospital-Acquired VRE Infection or Colonization"|"Sildenafil Citrate"
"892"|"NCT00563316"|"Canada"|"Amgen"|"Metastatic Colorectal Cancer"|"Irinotecan"
"893"|"NCT00564226"|"Canada"|"Sanofi-Aventis"|"Overactive Bladder"|"Metformin"
"894"|"NCT00564655"|"Canada"|"The Hospital for Sick Children"|"Anesthesia"|"Lapatinib"
"895"|"NCT00564655"|"Canada"|"The Hospital for Sick Children"|"Enteral Nutrition"|"Lapatinib"
"896"|"NCT00564681"|"Canada"|"Allergan"|"Cervical Dystonia"|"Botulinum Toxin Type A"
"897"|"NCT00565240"|"Canada"|"University of Saskatchewan"|"Ovarian Follicle"|"Chlorthalidone"
"898"|"NCT00566722"|"Canada"|"Abbott"|"Psoriasis"|"Adalimumab"
"899"|"NCT00566852"|"Canada"|"National Cancer Institute (NCI)"|"Cognitive/Functional Effects"|"Megestrol Acetate"
"900"|"NCT00566852"|"Canada"|"National Cancer Institute (NCI)"|"Metastatic Cancer"|"Megestrol Acetate"
"901"|"NCT00566852"|"Canada"|"National Cancer Institute (NCI)"|"Neurotoxicity"|"Megestrol Acetate"
"902"|"NCT00566852"|"Canada"|"National Cancer Institute (NCI)"|"Unspecified Adult Solid Tumor, Protocol Specific"|"Megestrol Acetate"
"903"|"NCT00567567"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Cisplatin"
"904"|"NCT00567567"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Magnesium Sulfate"
"905"|"NCT00567580"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Bicalutamide"
"906"|"NCT00569972"|"Canada"|"Pfizer"|"Insomnia"|"Glimepiride"
"907"|"NCT00569972"|"Canada"|"Pfizer"|"Insomnia"|"Monodox"
"908"|"NCT00570180"|"Canada"|"University Health Network, Toronto"|"Multiple Myeloma"|"Bortezomib"
"909"|"NCT00570713"|"Canada"|"Morphotek"|"Pancreatic Cancer"|"Trastuzumab"
"910"|"NCT00573963"|"Canada"|"Samuel Lunenfeld Research Institute, Mount Sinai Hospital"|"Pain"|"Ropivacaine"
"911"|"NCT00575796"|"Canada"|"The Hospital for Sick Children"|"Glioma"|"Vinblastine"
"912"|"NCT00577837"|"Canada"|"Procter and Gamble"|"Postmenopausal"|"Rifapentine"
"913"|"NCT00577837"|"Canada"|"Procter and Gamble"|"Postmenopausal"|"Risedronate"
"914"|"NCT00578305"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Methotrexate"
"915"|"NCT00578760"|"Canada"|"University Health Network, Toronto"|"Hearing Loss"|"Aspirin"
"916"|"NCT00578760"|"Canada"|"University Health Network, Toronto"|"Ototoxicity"|"Aspirin"
"917"|"NCT00580216"|"Canada"|"Sanofi-Aventis"|"Atrial Fibrillation"|"Eplerenone"
"918"|"NCT00590590"|"Canada"|"KV Pharmaceutical Company"|"Vulvodynia"|"Lidocaine"
"919"|"NCT00593710"|"Canada"|"University of British Columbia"|"Marfan Syndrome"|"Atazanavir"
"920"|"NCT00593710"|"Canada"|"University of British Columbia"|"Marfan Syndrome"|"Lorazepam"
"921"|"NCT00594568"|"Canada"|"Eli Lilly and Company"|"Alzheimer's Disease"|"Cyclophosphamide"
"922"|"NCT00594737"|"Canada"|"Rotman Research Institute at Baycrest"|"Frontotemporal Dementia"|"Memantine"
"923"|"NCT00595426"|"Canada"|"Astellas Pharma Inc"|"Arthroplasty, Replacement, Knee"|"Warfarin"
"924"|"NCT00595946"|"Canada"|"Sucampo Pharmaceuticals, Inc."|"Opioid-Induced Bowel Dysfunction"|"Lubiprostone"
"925"|"NCT00596830"|"Canada"|"Pfizer"|"Carcinoma, Adenosquamous"|"Carboplatin"
"926"|"NCT00596830"|"Canada"|"Pfizer"|"Carcinoma, Large Cell"|"Carboplatin"
"927"|"NCT00596830"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Carboplatin"
"928"|"NCT00596830"|"Canada"|"Pfizer"|"Carcinoma, Squamous Cell"|"Carboplatin"
"929"|"NCT00597077"|"Canada"|"Montreal Heart Institute"|"Atrial Fibrillation"|"Rasagiline"
"930"|"NCT00597077"|"Canada"|"Montreal Heart Institute"|"Congestive Heart Failure"|"Rasagiline"
"931"|"NCT00597428"|"Canada"|"Sucampo Pharmaceuticals, Inc."|"Opioid-Induced Bowel Dysfunction"|"Lubiprostone"
"932"|"NCT00598832"|"Canada"|"Galderma"|"Acne Vulgaris"|"Adapalene"
"933"|"NCT00599521"|"Canada"|"Galderma"|"Acne Vulgaris"|"Adapalene"
"934"|"NCT00599859"|"Canada"|"Sir Mortimer B. Davis - Jewish General Hospital"|"Lactose Intolerance"|"Lactose"
"935"|"NCT00599911"|"Canada"|"H. Lundbeck A/S"|"Major Depressive Disorder"|"Duloxetine"
"936"|"NCT00600964"|"Canada"|"Gemin X"|"Chronic Lymphocytic Leukemia"|"Tacrolimus"
"937"|"NCT00603915"|"Canada"|"University Health Network, Toronto"|"Nasopharyngeal Cancer"|"Erlotinib"
"938"|"NCT00603915"|"Canada"|"University Health Network, Toronto"|"Nasopharyngeal Cancer"|"Gemcitabine"
"939"|"NCT00605280"|"Canada"|"Pfizer"|"Macular Edema Associated With Diabetes Mellitus"|"Dexamethasone"
"940"|"NCT00605410"|"Canada"|"University of Saskatchewan"|"Asthma"|"Ipratropium Bromide"
"941"|"NCT00608491"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Heart Failure"|"Megace"
"942"|"NCT00610714"|"Canada"|"AstraZeneca"|"Ovarian Cancer"|"Tamoxifen Citrate"
"943"|"NCT00610714"|"Canada"|"AstraZeneca"|"Ovarian Neoplasms"|"Tamoxifen Citrate"
"944"|"NCT00611026"|"Canada"|"Pfizer"|"Overactive Bladder"|"Tiagabine"
"945"|"NCT00611273"|"Canada"|"Advanced Cosmetic Intervention"|"Glabellar Furrowing"|"Filgrastim"
"946"|"NCT00611884"|"Canada"|"Novo Nordisk"|"Diabetes Mellitus, Type 2"|"Metformin"
"947"|"NCT00612521"|"Canada"|"University of Ottawa Heart Institute"|"Coronary Artery Disease"|"Tamibarotene"
"948"|"NCT00612521"|"Canada"|"University of Ottawa Heart Institute"|"Coronary Artery Stenosis"|"Tamibarotene"
"949"|"NCT00612664"|"Canada"|"Bristol-Myers Squibb"|"Melanoma"|"Cetuximab"
"950"|"NCT00612898"|"Canada"|"Avexa"|"HIV Infections"|"Lamivudine"
"951"|"NCT00615875"|"Canada"|"McMaster University"|"Pain, Postoperative"|"Morphine"
"952"|"NCT00616889"|"Canada"|"Queen's University"|"Bipolar Disorder"|"Cyclophosphamide"
"953"|"NCT00616915"|"Canada"|"Queen's University"|"Mood Disorder"|"Colesevelam hydrochloride"
"954"|"NCT00617032"|"Canada"|"Targeted Genetics Corporation"|"Rheumatoid Arthritis"|"Ketamine"
"955"|"NCT00617032"|"Canada"|"Targeted Genetics Corporation"|"Rheumatoid Arthritis"|"Lactose"
"956"|"NCT00618722"|"Canada"|"Kythera Biopharmecuticals"|"Reduction of Subcutaneous Fat in the Submental Area"|"Insulin glargine"
"957"|"NCT00620542"|"Canada"|"AstraZeneca"|"Coronary Atherosclerosis"|"Rosuvastatin"
"958"|"NCT00620997"|"Canada"|"London Health Sciences Centre"|"Corneal Abrasions"|"Vitamin C"
"959"|"NCT00621608"|"Canada"|"St. Joseph's Healthcare"|"Chronic Ulcers of the Lower Limb"|"Docetaxel"
"960"|"NCT00621608"|"Canada"|"St. Joseph's Healthcare"|"Diabetes Mellitus"|"Docetaxel"
"961"|"NCT00622869"|"Canada"|"Novartis"|"Liver Transplantation"|"Tacrolimus"
"962"|"NCT00623285"|"Canada"|"University of Manitoba"|"Postoperative Pain."|"Pregabalin"
"963"|"NCT00623428"|"Canada"|"Hoffmann-La Roche"|"Hepatitis C, Chronic"|"Copegus"
"964"|"NCT00624208"|"Canada"|"University of British Columbia"|"Myocardial Repolarization"|"Ondansetron"
"965"|"NCT00624455"|"Canada"|"University of British Columbia"|"Post-operative Pain"|"Pregabalin"
"966"|"NCT00624676"|"Canada"|"Cosmetique Active International"|"Acne Vulgaris"|"Oxazepam"
"967"|"NCT00625664"|"Canada"|"Sanofi-Aventis"|"Urinary Bladder Neoplasms"|"Bupivacaine"
"968"|"NCT00625664"|"Canada"|"Sanofi-Aventis"|"Urinary Bladder Neoplasms"|"Cisplatin"
"969"|"NCT00625898"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Carboplatin"
"970"|"NCT00625898"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Cyclophosphamide"
"971"|"NCT00625898"|"Canada"|"National Surgical Adjuvant Breast and Bowel Project (NSABP)"|"Breast Cancer"|"Epirubicin"
"972"|"NCT00626106"|"Canada"|"Amgen"|"Breast Cancer"|"Varenicline"
"973"|"NCT00626106"|"Canada"|"Amgen"|"Breast Tumors"|"Varenicline"
"974"|"NCT00626106"|"Canada"|"Amgen"|"Metastatic Cancer"|"Varenicline"
"975"|"NCT00626548"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"Docetaxel"
"976"|"NCT00626548"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"Estradiol"
"977"|"NCT00626548"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"Ketoconazole"
"978"|"NCT00626548"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"estradiol"
"979"|"NCT00627835"|"Canada"|"British Columbia Cancer Agency"|"Locally Advanced Squamous Cell Carcinomas of the Head and Neck (SCCHN)"|"Sorafenib"
"980"|"NCT00627926"|"Canada"|"Vertex Pharmaceuticals Incorporated"|"Hepatitis C"|"Methotrexate"
"981"|"NCT00627926"|"Canada"|"Vertex Pharmaceuticals Incorporated"|"Hepatitis C"|"Ribavirin"
"982"|"NCT00629772"|"Canada"|"Innovaderm Research Inc."|"Palmoplantar Psoriasis"|"Paclitaxel"
"983"|"NCT00631358"|"Canada"|"Alcon Research"|"Sjogren's Syndrome"|"Propafenone"
"984"|"NCT00633880"|"Canada"|"Chelsea Therapeutics"|"Dopamine Beta Hydroxylase Deficiency"|"Droxidopa"
"985"|"NCT00633880"|"Canada"|"Chelsea Therapeutics"|"Non-diabetic Neuropathy"|"Droxidopa"
"986"|"NCT00633880"|"Canada"|"Chelsea Therapeutics"|"Primary Autonomic Failure"|"Droxidopa"
"987"|"NCT00633880"|"Canada"|"Chelsea Therapeutics"|"Symptomatic Neurogenic Orthostatic Hypotension (NOH)"|"Droxidopa"
"988"|"NCT00635219"|"Canada"|"H. Lundbeck A/S"|"Major Depressive Disorder"|"Duloxetine"
"989"|"NCT00635219"|"Canada"|"H. Lundbeck A/S"|"Major Depressive Disorder"|"Quetiapine fumarate"
"990"|"NCT00635700"|"Canada"|"Yale University"|"Psychosis Prodrome"|"Ziprasidone"
"991"|"NCT00638131"|"Canada"|"Centre hospitalier de l'Université de Montréal (CHUM)"|"Type 2 Diabetes"|"Bosentan"
"992"|"NCT00640822"|"Canada"|"LEO Pharma"|"Psoriasis Vulgaris"|"Insulin glargine"
"993"|"NCT00640991"|"Canada"|"Population Health Research Institute"|"Cardiovascular Diseases"|"Adenosine"
"994"|"NCT00640991"|"Canada"|"Population Health Research Institute"|"Hyperglycemia"|"Adenosine"
"995"|"NCT00640991"|"Canada"|"Population Health Research Institute"|"Myocardial Infarction"|"Adenosine"
"996"|"NCT00642460"|"Canada"|"Hoffmann-La Roche"|"Juvenile Idiopathic Arthritis"|"Methotrexate"
"997"|"NCT00642811"|"Canada"|"AstraZeneca"|"Stable Coronary Artery Disease"|"Anastrozole"
"998"|"NCT00642811"|"Canada"|"AstraZeneca"|"Stable Coronary Artery Disease"|"Bicalutamide"
"999"|"NCT00643149"|"Canada"|"Pfizer"|"Tonsillitis"|"Amoxicillin"
